bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,sqft_above,sqft_basement,view,waterfront,yr_renovated,price
3,2.7,4946,16778,2.0,2,5,1989,4532,414,2,0,0,1503765
3,1.8,4226,13619,2.0,1,2,2012,4062,164,4,0,0,1320429
1,2.6,3971,14530,2.0,2,9,1965,3060,911,3,0,0,1301672
3,2.0,3328,13285,1.0,3,1,1955,2387,941,3,0,0,1044849
3,2.6,3350,8599,1.0,3,2,1952,2713,637,2,0,0,1060025
1,1.4,3006,5344,2.0,3,1,1963,2705,301,3,0,0,966364
3,1.4,4270,6729,2.0,4,4,2015,3297,973,0,0,0,1282996
5,1.4,3464,11490,2.0,2,4,2016,3344,120,4,0,0,1167425
2,3.8,1449,5339,2.0,4,5,1980,1362,87,4,0,0,690164
2,3.2,3350,6873,1.0,4,5,1982,3134,216,3,0,1994,1132836
1,1.5,665,1260,2.0,2,8,1950,400,265,2,0,0,396994
4,1.6,3986,6598,1.5,3,3,1993,3173,813,0,0,2005,1181107
1,3.2,3009,10702,1.0,1,6,1964,2831,178,2,0,0,983466
4,1.5,1419,3233,2.0,1,3,1986,718,701,3,0,0,578439
2,1.7,613,1535,1.0,2,2,1976,451,162,4,0,0,368235
1,3.9,4004,11038,1.0,2,8,1997,3412,592,4,0,0,1348131
6,1.8,1491,5365,1.5,3,1,1976,1322,169,2,0,2004,558855
5,3.0,4339,13568,1.5,2,9,1961,4039,300,1,0,2021,1375336
3,3.9,1758,5340,2.0,2,7,2016,1385,373,2,0,0,683214
4,2.1,3926,7613,1.0,3,4,1979,3219,707,1,0,1997,1209802
6,1.1,1014,2821,1.0,3,3,2015,812,202,2,0,0,470803
3,1.7,3696,12154,1.0,4,6,1956,3650,46,1,0,0,1114878
3,3.5,4934,19406,1.0,2,9,1983,4472,462,1,0,0,1530194
1,3.6,3084,6178,1.0,1,9,1981,2415,669,1,0,2006,1012681
3,3.3,567,864,2.0,2,4,1988,400,167,1,0,0,336493
5,1.3,2096,3538,1.5,1,5,1992,1903,193,0,0,1996,689170
6,3.4,4978,12144,2.0,1,9,1992,4552,426,1,1,0,1710907
3,3.8,518,1839,2.0,1,2,1952,400,118,1,0,0,282230
1,2.8,3230,4902,2.0,4,2,1995,2440,790,4,0,0,1053509
5,3.8,4021,10622,1.0,3,5,1981,3705,316,0,0,0,1256912
2,3.5,1072,2490,1.0,3,1,1992,594,478,1,0,0,412574
6,3.0,2758,4498,2.0,4,8,1952,2338,420,3,0,0,1052465
3,2.7,3402,8932,1.5,3,5,2012,3134,268,0,0,1999,1059825
1,2.0,1150,2457,2.0,4,2,1989,670,480,4,0,0,525360
2,1.5,3087,7346,2.0,2,9,1967,2377,710,2,0,0,1036431
2,2.8,3762,12279,2.0,4,2,2016,3027,735,4,0,2007,1232349
4,2.0,1838,5153,2.0,3,7,2011,1576,262,4,0,0,778924
5,3.6,4134,7489,1.5,3,8,1959,3709,425,0,0,0,1317720
3,4.0,3327,12987,1.0,2,6,2001,3162,165,0,1,0,1226314
1,3.3,2717,8394,2.0,4,7,1995,2026,691,3,0,0,959195
4,1.3,4039,13791,1.5,2,1,2004,3612,427,3,0,0,1264724
5,1.9,1537,2609,1.0,1,4,1995,834,703,0,0,1992,531693
4,1.3,4883,7898,2.0,4,7,2009,4487,396,0,0,0,1448002
6,3.0,4478,6934,1.5,2,1,1975,4263,215,0,0,0,1298506
5,3.3,3461,6825,2.0,2,1,1976,2666,795,2,0,0,1107422
5,3.8,3726,9449,2.0,3,6,1987,2863,863,4,0,0,1287114
3,2.3,1598,6135,1.0,4,4,1971,1492,106,3,0,0,643026
5,3.7,2824,7462,2.0,1,3,1975,1847,977,3,0,0,964570
4,3.6,1439,3202,2.0,1,5,2018,1342,97,1,0,0,591463
5,2.0,4216,12246,2.0,4,9,1984,3337,879,2,0,2019,1396061
3,3.6,3914,6966,1.0,4,3,2015,3433,481,0,0,0,1177118
3,2.1,1948,5890,1.0,2,5,2000,1450,498,0,0,0,668743
6,1.9,1070,3125,2.0,3,5,1967,841,229,2,0,0,524840
4,2.9,3404,11845,1.0,3,9,1992,3148,256,3,0,0,1194322
2,2.0,3005,11919,1.0,3,4,1961,2963,42,0,0,2003,935883
2,2.9,1417,3014,2.0,4,1,1952,1176,241,1,0,0,534598
5,2.8,2374,6585,1.5,3,5,1956,1821,553,3,0,0,867980
6,2.7,2178,8215,1.5,2,1,1955,2084,94,4,0,0,834908
1,2.1,1115,3861,1.0,4,6,1994,400,715,2,0,0,469295
5,2.6,2249,6113,1.5,4,7,1988,1484,765,3,0,0,892024
6,2.8,4325,16709,2.0,3,1,2000,4138,187,4,0,0,1411238
4,2.6,4688,7702,1.0,1,4,1958,4304,384,1,0,1996,1405094
4,2.3,2977,11394,1.0,1,9,1972,2159,818,2,0,0,1034144
4,1.0,4005,6513,2.0,2,1,1961,3606,399,0,0,0,1149427
4,2.8,3975,11401,2.0,3,9,2011,3470,505,0,1,0,1408961
4,1.5,1635,6092,2.0,3,8,1989,1469,166,4,0,0,710461
6,2.9,4500,9705,1.0,4,5,2003,3718,782,3,0,0,1470149
6,3.3,874,2342,1.0,4,6,1956,750,124,1,0,0,483460
3,2.5,706,1631,2.0,3,7,1966,400,306,4,0,0,469492
2,2.6,1819,7058,1.0,4,4,1999,1733,86,1,0,2020,622324
4,3.9,1641,5840,2.0,3,6,1973,821,820,1,0,0,638883
1,3.5,3190,10439,1.5,2,7,1951,2702,488,1,0,1998,1037590
6,3.7,3755,11148,1.0,4,6,1982,3530,225,2,0,0,1251038
1,3.4,589,2091,2.0,3,6,1970,400,189,4,0,0,443968
1,1.3,4608,11430,2.0,4,2,2002,4264,344,2,0,0,1347820
1,1.4,3520,9218,2.0,2,5,1995,2761,759,3,0,0,1137699
3,2.6,2357,7837,1.0,4,3,1994,1484,873,3,0,0,820830
6,1.7,1304,3122,1.0,3,7,1958,787,517,0,0,0,532742
1,2.4,1444,2396,1.5,4,4,1955,1414,30,0,1,0,662493
4,2.2,3289,5544,1.5,4,1,2000,2581,708,0,0,2009,999866
5,2.6,4375,7824,1.0,3,6,1984,3632,743,3,0,0,1428009
1,3.2,2110,7752,1.0,1,6,2002,1815,295,1,0,0,716523
3,3.1,3423,9175,1.0,4,7,1968,3010,413,1,0,2013,1123527
6,2.6,4382,14382,2.0,4,8,2018,3546,836,4,0,0,1485919
3,3.5,3721,9236,2.0,2,3,1974,2750,971,3,0,0,1177945
1,2.3,4891,10499,2.0,1,6,1960,4757,134,0,1,0,1589516
6,3.7,2887,6836,1.0,2,2,1966,2363,524,3,0,0,1023589
5,1.2,1441,5022,2.0,3,9,1985,1438,3,1,0,0,645138
1,3.9,3066,9391,1.0,3,2,1970,2889,177,1,0,0,960166
3,3.0,1475,5670,1.5,2,3,1967,730,745,2,0,1999,579312
2,2.1,1454,4651,2.0,4,2,2009,1196,258,2,1,0,644816
4,1.6,1762,5154,1.0,1,9,1967,1111,651,4,0,0,806953
3,2.4,1443,4365,1.5,2,1,1950,1379,64,3,0,0,586404
6,1.6,2702,10418,1.0,2,5,1963,1908,794,2,0,0,943943
1,1.5,3827,13281,1.0,3,1,1957,3465,362,2,0,2007,1134129
4,2.9,4774,7447,2.0,4,5,2015,3957,817,3,0,0,1476284
1,2.6,2759,7822,2.0,1,8,2000,2043,716,1,0,0,926527
6,3.0,2328,7498,2.0,2,8,2009,2312,16,4,0,0,945184
1,3.8,1757,5924,1.5,1,8,1983,1558,199,4,0,0,717895
2,2.6,964,1959,2.0,1,2,1985,421,543,4,0,0,468683
4,2.7,3794,13916,1.0,2,8,2011,3583,211,2,0,0,1275668
4,1.3,1730,6729,1.0,1,5,1950,1296,434,1,0,0,623229
6,3.2,3154,6597,2.0,3,1,1991,2882,272,4,0,0,1094408
2,2.2,1384,5129,1.0,4,7,1950,1095,289,3,0,0,615164
3,3.9,4305,7501,2.0,4,6,2003,3503,802,4,0,0,1432033
1,3.5,4356,7140,1.0,4,5,1996,3874,482,0,0,0,1321184
5,2.6,3635,6626,2.0,3,1,1988,2638,997,1,0,1998,1151733
1,1.4,1424,2341,2.0,3,1,1979,1191,233,0,1,0,602570
1,3.6,2046,7391,1.0,3,6,1956,1639,407,1,0,2017,711635
3,3.4,1594,2626,1.0,4,7,1971,901,693,3,0,0,663130
1,1.6,2911,6343,2.0,1,1,1999,2766,145,2,0,0,899221
2,1.9,3117,5484,1.0,3,9,1994,2556,561,2,0,0,1068632
2,3.4,1262,2825,1.0,2,4,2021,833,429,1,0,0,504050
4,1.6,2823,4873,2.0,3,5,1959,2392,431,4,0,0,999146
6,3.8,4645,14724,1.0,2,2,1963,4031,614,0,0,0,1396723
5,2.3,3275,6004,2.0,4,8,1995,2731,544,3,0,0,1149548
1,1.3,3655,13266,1.5,2,2,1955,3159,496,4,0,0,1130847
1,3.4,4470,15837,1.0,3,3,1970,3488,982,2,0,0,1335832
3,2.1,2540,3896,2.0,3,9,2011,2452,88,4,0,0,954569
6,2.6,1083,4049,1.5,1,2,1968,400,683,0,0,0,437896
2,1.3,4831,7596,1.0,4,6,2011,4421,410,2,0,0,1465636
5,1.0,2603,5463,1.5,2,4,2002,1707,896,1,0,0,836871
4,2.9,2442,3860,1.0,4,7,1973,1590,852,3,0,0,891052
2,2.5,4955,11592,1.0,3,6,2005,4129,826,3,0,0,1555336
6,2.8,609,1695,1.0,1,9,2011,400,209,2,0,0,455944
4,3.4,691,2412,1.0,3,9,1983,400,291,1,0,0,409819
3,2.9,1403,3289,1.0,3,4,1971,1181,222,0,0,0,514181
3,1.5,1361,4441,2.0,3,1,2017,614,747,3,0,2006,512881
1,2.1,1583,3116,2.0,2,2,2006,919,664,2,0,0,558587
6,3.7,1149,3879,1.5,3,8,1959,682,467,3,0,2006,630453
5,3.3,4634,9685,2.0,4,8,2015,4066,568,1,0,0,1518129
4,2.7,4111,7641,2.0,4,2,1957,3790,321,0,0,2005,1222086
2,1.8,1136,2230,1.5,1,4,1987,762,374,1,0,2001,452345
6,1.9,1536,3003,2.0,4,1,2011,1425,111,4,0,0,658441
6,3.2,4631,12884,1.0,3,7,1977,4105,526,1,0,0,1465444
3,3.6,2648,9564,2.0,3,4,1959,2237,411,1,0,0,913638
1,3.0,4365,7416,1.0,4,8,1994,4097,268,3,0,0,1405351
1,3.4,3657,11948,1.0,1,9,2014,3032,625,1,1,2011,1335802
4,3.3,4087,12816,2.0,1,9,2016,3836,251,2,0,2005,1341187
3,1.4,3794,13966,1.0,4,3,1958,3421,373,3,0,0,1207066
6,2.3,4761,10047,1.0,2,5,1954,4108,653,3,1,2001,1669076
5,1.5,2930,7692,1.5,2,6,1959,2305,625,4,0,2017,1067489
3,1.7,2379,9074,1.5,2,6,1961,1930,449,2,0,0,867289
4,3.6,4466,14067,2.0,2,8,2007,3665,801,1,0,0,1444014
4,2.4,4213,10414,2.0,4,6,1970,3219,994,4,0,0,1414997
3,2.6,4626,8458,1.0,1,6,1970,3758,868,2,0,0,1423327
4,1.5,4606,9931,1.0,3,4,2014,4070,536,4,0,0,1410022
3,1.9,2511,7415,2.0,3,7,1952,2144,367,0,0,0,865560
2,1.7,3873,12763,1.0,4,8,2018,3052,821,1,0,0,1259016
3,1.6,2643,4786,2.0,3,3,2013,2389,254,4,0,0,928369
3,2.9,3000,8996,1.0,2,7,1998,2538,462,0,0,2017,951189
4,1.8,1789,5144,1.5,1,3,2021,1522,267,1,0,0,647126
4,2.9,1947,5422,1.5,4,8,1966,1822,125,4,0,0,850083
1,1.2,3699,11930,1.5,1,1,1981,3307,392,4,0,2009,1097488
1,1.4,2443,8779,1.5,4,1,2019,1682,761,4,0,0,825863
2,1.8,3683,8498,1.5,4,6,1970,2885,798,4,0,0,1232847
1,2.8,3716,13832,1.0,4,9,1956,3383,333,3,0,0,1216656
3,3.0,3636,6914,1.0,4,4,1956,2648,988,4,0,0,1193945
4,2.3,3818,7378,1.0,1,6,1976,3254,564,3,0,2004,1269133
1,2.3,3282,7111,1.5,3,5,1957,2915,367,3,0,0,1078512
1,3.2,1490,2680,1.0,4,1,1977,936,554,0,0,0,474254
2,1.0,2653,5507,1.5,2,6,2015,1976,677,1,0,0,844374
6,2.0,725,1280,1.0,4,9,2020,400,325,3,0,2000,469298
2,3.5,1276,4535,2.0,1,3,1996,400,876,2,0,0,519493
3,2.8,3337,6164,2.0,4,3,1959,2882,455,3,0,1995,1119253
4,2.0,1187,3998,1.0,2,2,1982,500,687,2,1,0,650409
2,3.7,1029,1666,1.0,1,4,1956,963,66,0,1,1998,546103
1,3.3,3942,15260,1.0,4,3,1952,3877,65,2,0,0,1212120
4,1.8,2653,8696,2.0,2,2,1963,1742,911,0,0,0,830785
4,2.9,1794,2721,1.5,1,1,1993,1200,594,0,0,0,607447
1,2.8,2026,6907,1.0,4,3,1995,1165,861,0,0,2017,660853
2,2.2,3396,9458,2.0,2,6,2010,2780,616,2,0,0,1127209
1,2.1,3603,12424,1.0,1,9,1985,3204,399,2,0,2004,1204607
6,2.0,2940,8250,1.5,4,5,1962,2654,286,0,0,0,929294
4,2.9,4635,14380,1.5,1,3,1965,3750,885,0,0,0,1396408
5,2.3,4302,14909,2.0,2,5,1954,4117,185,1,0,0,1362664
5,3.5,1344,3377,1.0,4,5,1987,1061,283,0,1,0,673512
3,3.0,946,1425,2.0,4,5,1999,431,515,4,0,0,531221
1,1.2,4415,16003,2.0,4,7,1987,3766,649,1,0,0,1356888
1,2.9,3609,8850,1.0,2,5,2005,2919,690,1,0,0,1092064
3,1.8,1734,4751,1.0,3,7,2012,1498,236,1,0,2005,647757
3,2.8,726,1103,1.5,4,9,1997,709,17,4,0,0,507714
3,3.0,4643,12676,2.0,2,5,2008,3829,814,1,0,0,1396052
4,1.7,3459,13719,2.0,1,2,1993,2532,927,1,0,2017,1046292
6,2.4,2330,5115,1.5,1,5,2004,1917,413,2,0,0,869103
1,1.6,4279,10648,2.0,2,8,2004,3348,931,2,0,0,1374758
4,1.2,686,2207,1.0,3,4,1950,678,8,0,0,0,288903
3,2.1,3377,11944,1.0,2,2,1957,2958,419,0,0,0,946023
1,2.1,3035,7719,2.0,1,3,1953,3007,28,3,0,0,1003342
4,4.0,2432,5530,2.0,1,9,2002,1777,655,4,0,0,1010585
6,2.3,3424,13163,1.5,4,9,2007,3077,347,2,0,2019,1210321
4,2.0,1348,4303,2.0,3,8,1986,688,660,0,0,0,548844
6,2.7,2532,4551,2.0,2,8,1998,1957,575,4,0,0,972490
3,1.3,1752,2929,2.0,1,8,2016,874,878,1,0,0,668589
6,3.9,2381,6449,2.0,1,8,1968,1932,449,4,0,0,988202
1,2.9,769,1576,2.0,1,8,1950,400,369,2,0,0,411296
3,3.3,2130,4547,1.0,2,1,1978,1432,698,3,0,2006,755027
1,1.5,4905,18120,2.0,2,6,1982,4540,365,2,0,0,1472957
5,2.2,3703,6383,1.0,3,9,2001,3477,226,0,0,1990,1211375
2,2.3,2074,6820,2.0,4,8,1990,1957,117,0,0,0,695494
6,3.5,3392,7387,1.5,4,3,1972,2981,411,4,0,0,1188230
2,1.0,2195,7464,2.0,4,1,1954,1245,950,2,0,0,707949
2,1.9,3758,12424,1.5,1,2,2020,3403,355,0,0,0,1123027
6,3.9,3762,5712,1.0,4,2,2006,3509,253,1,0,0,1199687
3,2.4,1945,5393,1.0,1,7,1955,1403,542,1,0,2014,718105
5,2.1,719,1328,2.0,3,6,1998,400,319,3,0,0,431366
1,1.4,552,2023,2.0,1,2,1971,400,152,4,0,0,318000
4,3.9,2257,8303,1.0,3,8,1953,1814,443,0,0,2003,824105
1,1.1,2166,5514,2.0,3,9,2021,1486,680,3,0,0,807887
4,3.2,3285,8577,2.0,4,7,2013,3205,80,1,0,0,1099568
1,3.3,1219,2752,2.0,4,4,1986,1174,45,3,0,0,547123
6,1.7,905,2978,1.0,1,1,1980,857,48,3,0,0,391304
5,3.0,2794,6696,2.0,2,4,1986,2346,448,0,0,2006,899677
4,1.3,571,1238,1.5,4,4,1994,400,171,0,0,0,306745
3,1.8,2553,6588,2.0,4,8,1957,2147,406,0,1,2020,1008362
1,3.4,1729,2988,2.0,2,4,1989,850,879,4,0,0,740384
1,3.6,2067,6958,2.0,2,4,1954,1785,282,3,0,0,763128
4,2.8,4182,6404,2.0,4,2,1977,3710,472,3,0,0,1289320
3,2.5,3453,10743,1.0,2,7,1958,3038,415,4,0,2014,1194356
3,1.5,4982,9750,1.0,1,4,1951,4004,978,1,0,0,1438958
6,1.2,1198,2493,1.0,3,6,2012,599,599,2,0,0,547593
6,1.4,1326,4096,1.0,3,3,2000,1206,120,1,0,0,505434
6,1.7,848,3377,1.5,4,7,1980,846,2,4,0,0,516460
6,2.0,4408,15182,2.0,4,6,1956,4093,315,3,0,0,1463015
6,2.1,807,1666,2.0,1,3,1979,400,407,3,0,0,405903
6,2.0,3916,7597,1.0,2,4,2007,3690,226,0,0,2013,1185093
5,1.7,2834,10388,1.5,4,5,1952,2756,78,0,0,0,907336
3,2.5,3309,8638,1.0,3,9,2000,2653,656,3,0,0,1178020
6,3.5,4058,7477,1.0,1,6,2005,3305,753,3,0,0,1341989
3,1.8,4978,18197,1.0,1,4,1959,4435,543,0,0,0,1419684
3,3.8,3977,14079,2.0,2,7,2010,3203,774,0,0,2015,1256605
2,3.6,3186,12615,1.0,4,2,1999,2464,722,1,0,0,978265
5,1.5,3485,13153,2.0,4,4,1996,3415,70,3,0,0,1140980
6,3.4,775,2812,1.0,1,5,1950,400,375,3,0,0,478386
1,2.7,3047,4970,2.0,3,4,2006,2851,196,4,0,2010,980457
4,2.7,3264,5748,2.0,4,4,1987,3207,57,1,0,2008,1036062
1,2.2,836,2443,2.0,3,9,2011,413,423,2,0,0,440230
5,2.5,2473,6995,2.0,1,2,2019,2005,468,2,0,0,869416
4,2.2,3479,9201,2.0,4,6,2014,2856,623,2,0,0,1162782
5,2.6,4468,11134,2.0,3,8,2011,4421,47,0,1,0,1550593
3,2.9,1410,3635,2.0,1,8,2005,976,434,2,0,0,612467
4,3.0,2496,7296,1.0,3,7,2016,2312,184,4,0,0,956584
3,2.6,3629,5462,1.0,4,4,1966,2751,878,0,0,0,1112578
1,3.2,4704,10121,1.0,2,7,1957,3866,838,0,0,0,1410342
1,1.4,4257,11901,2.0,3,6,2009,4093,164,2,0,0,1352187
4,1.6,827,2733,1.5,2,6,1989,400,427,0,1,0,518594
4,3.5,2299,4449,2.0,4,2,2011,1969,330,1,0,0,790844
6,2.0,814,2333,2.0,2,8,1990,485,329,1,0,0,453689
5,1.1,4045,13292,1.5,1,8,1961,3925,120,2,0,0,1321304
6,1.5,1634,4267,1.5,2,7,2003,1422,212,4,0,0,708087
5,1.7,3246,5088,2.0,3,9,1960,2424,822,0,0,0,1068231
6,3.9,2020,5298,1.0,3,8,2009,1514,506,3,0,0,818113
3,2.7,655,1467,2.0,2,9,2017,400,255,2,0,0,447992
4,3.8,2224,8504,1.0,1,9,1995,1360,864,0,0,2005,777503
1,2.7,3843,6961,2.0,4,6,1987,2928,915,2,0,0,1238725
5,2.4,1386,4339,1.0,2,2,2010,586,800,2,0,0,579286
5,1.9,3573,5830,2.0,3,7,1966,3406,167,4,0,0,1279826
1,2.8,3305,8643,1.5,3,3,2015,2311,994,3,0,0,1060599
6,1.4,1221,3522,1.0,2,7,2021,676,545,0,0,0,499977
5,3.7,1412,3169,1.0,2,9,1985,583,829,2,0,0,654579
3,3.5,3857,10173,1.5,2,2,1956,2862,995,2,1,2000,1369662
4,2.0,1370,2615,2.0,4,6,1965,400,970,0,0,0,538778
1,3.9,4608,10415,2.0,3,6,1963,3822,786,2,0,0,1438391
4,3.5,997,3043,1.5,3,9,1974,571,426,2,0,0,563428
